,,InChIKey
analogInchikeys,1519,UYEUUXMDVNYCAM-UHFFFAOYSA-N
analogInchikeys,1524,GLUBLISJVJFHQS-VIFPVBQESA-N
analogInchikeys,1529,SZVNKXCDJUBPQO-HYXAFXHYSA-N
analogInchikeys,1530,HTOYBIILVCHURC-UHFFFAOYSA-N
analogInchikeys,1533,WXWCQPKBJOCBEG-UHFFFAOYSA-N
analogInchikeys,1535,JMBQKKAJIKAWKF-UHFFFAOYSA-N
analogInchikeys,1551,NA
analogInchikeys,1555,WZJZMXBKUWKXTQ-UHFFFAOYSA-N
analogInchikeys,1570,XMRPGKVKISIQBV-KFQKKLAISA-N
analogInchikeys,1571,IDGXIXSKISLYAC-HBBCJVOSSA-N
analogInchikeys,1576,VGEREEWJJVICBM-UHFFFAOYSA-N
analogInchikeys,1581,NDAUXUAQIAJITI-UHFFFAOYSA-N
analogInchikeys,1583,LBSJJNAMGVDGCU-UHFFFAOYSA-N
analogInchikeys,1588,KYVPWJSGFKNNLD-ABEVXSGRSA-N
analogInchikeys,1590,OLSYISKGDWQZSZ-SCIVCHICSA-N
analogInchikeys,1592,SLQMNVJNDYLJSF-UHFFFAOYSA-N
analogInchikeys,1603,RARUJUZFKGDIOM-RAEVTNRLSA-N
analogInchikeys,1609,ZRIKZVLHMGYCIR-NSHDSACASA-N
analogInchikeys,1611,YGWKXXYGDYYFJU-UHFFFAOYSA-N
analogInchikeys,1612,AYDBLCSLKNTEJL-YXZQPBNNSA-N
analogInchikeys,1618,HLHYXXBCQOUTGK-KZVCDKSYSA-N
analogInchikeys,1619,SVINQHQHARVZFF-UHFFFAOYSA-N
analogInchikeys,1622,ZCBRYYRPNSHPER-UHFFFAOYSA-N
