,,InChIKey
libraryInchikeys,7169,YPZRWBKMTBYPTK-BJDJZHNGSA-N
libraryInchikeys,7248,GHOKWGTUZJEAQD-UHFFFAOYSA-N
libraryInchikeys,7521,FRASJONUBLZVQX-UHFFFAOYSA-N
libraryInchikeys,7560,AJMOLNFDYWTVQW-QWRGUYRKSA-N
libraryInchikeys,7735,HFHDHCJBZVLPGP-RWMJIURBSA-N
libraryInchikeys,7744,UZKQTCBAMSWPJD-GRZPMIFFSA-N
libraryInchikeys,8162,ATBOMIWRCZXYSZ-DLPCDOJJSA-N
libraryInchikeys,8250,INBGSXNNRGWLJU-MMWCHQFZSA-N
libraryInchikeys,8311,SKGWNZXOCSYJQL-BUTYCLJRSA-N
libraryInchikeys,8421,ZAZKJZBWRNNLDS-UHFFFAOYSA-N
libraryInchikeys,8439,NA
libraryInchikeys,8642,OILXMJHPFNGGTO-PXSSQYMJSA-N
libraryInchikeys,8867,FTAGQROYQYQRHF-DVTQSMNISA-N
libraryInchikeys,9320,XOMRRQXKHMYMOC-UHFFFAOYSA-N
libraryInchikeys,9581,ILGRTMNCRBDXBI-UHFFFAOYSA-N
libraryInchikeys,9762,GGJRAQULURVTAJ-PDBXOOCHSA-N
analogInchikeys,21,LIDWXUGNGGWNEU-MGUDNFKCSA-N
analogInchikeys,36,BHHGXPLMPWCGHP-UHFFFAOYSA-N
analogInchikeys,88,UDSFAEKRVUSQDD-UHFFFAOYSA-N
analogInchikeys,95,UBORTCNDUKBEOP-UUOKFMHZSA-N
analogInchikeys,98,GUGWNSHJDUEHNJ-UHFFFAOYSA-N
analogInchikeys,100,BKAYIFDRRZZKNF-VIFPVBQESA-N
analogInchikeys,102,GMHTUWZTSIUNIM-UHFFFAOYSA-N
analogInchikeys,103,YKFGCFTZQOQFRX-VYMSZZINSA-N
analogInchikeys,133,FLKPEMZONWLCSK-UHFFFAOYSA-N
analogInchikeys,134,NA
analogInchikeys,150,LZFOPEXOUVTGJS-RHDNXJPHSA-N
analogInchikeys,170,OGHAROSJZRTIOK-AMKBJPJNSA-N
analogInchikeys,175,DUUGKQCEGZLZNO-UHFFFAOYSA-N
analogInchikeys,213,VVEXPDRCGCQELD-CFDZEDGGSA-N
analogInchikeys,235,DRUKNYVQGHETPO-UHFFFAOYSA-N
analogInchikeys,237,QIVBCDIJIAJPQS-SECBINFHSA-N
analogInchikeys,240,FNFHZBKBDFRYHS-RUZDIDTESA-N
analogInchikeys,251,WICAPTTWPBEVPW-UHFFFAOYSA-N
analogInchikeys,258,AMIDUPFSOUCLQB-UHFFFAOYSA-N
analogInchikeys,274,IMKJGXCIJJXALX-YXZQPBNNSA-N
analogInchikeys,283,NA
analogInchikeys,287,WOURXYYHORRGQO-UHFFFAOYSA-N
analogInchikeys,288,UBAQSAUDKMIEQZ-QWRGUYRKSA-N
analogInchikeys,292,YCBSMEKEDOHEQI-QLJXJWEDSA-N
analogInchikeys,293,CHTHALBTIRVDBM-UHFFFAOYSA-N
