,scan,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
0,1,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
1,2,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
2,3,1015.0,Organic acids and derivatives,0.6666666666666666,superclass,6.0,In silico
3,4,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
4,5,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
5,6,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
6,7,2409.0,Organic oxygen compounds,0.6666666666666666,superclass,3.0,In silico
7,8,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
8,9,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
9,10,650.0,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5.0,In silico
10,11,208.0,,,,,
11,12,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
12,13,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
13,14,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
14,15,319.0,,,,,
15,16,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
16,17,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
17,18,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
18,19,1557.0,,,,,
19,20,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
20,21,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
21,22,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
22,23,174.0,Lipids and lipid-like molecules,0.9125,superclass,48.0,In silico
23,24,3456.0,,,,,
24,25,319.0,,,,,
25,26,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
26,27,1072.0,Lipids and lipid-like molecules,0.6153846153846154,superclass,13.0,In silico
27,28,1129.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,9.0,In silico
28,29,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
29,30,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
30,31,565.0,Organic nitrogen compounds;Organonitrogen compounds,1.1,class,19.0,In silico
31,32,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
32,33,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
33,34,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
34,35,566.0,,,,,
35,36,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
36,37,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
37,38,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
38,39,545.0,Benzenoids,0.5555555555555556,superclass,9.0,In silico
39,40,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
40,41,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
41,42,545.0,Benzenoids,0.5555555555555556,superclass,9.0,In silico
42,43,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
43,44,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
44,45,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
45,46,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
46,47,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
47,48,319.0,,,,,
48,49,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
49,50,577.0,Lipids and lipid-like molecules;Fatty Acyls,0.725,class,8.0,In silico
50,51,1015.0,Organic acids and derivatives,0.6666666666666666,superclass,6.0,In silico
51,52,1109.0,,,,,
52,53,265.0,Lipids and lipid-like molecules,0.6666666666666666,superclass,3.0,In silico
53,54,163.0,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
54,55,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
55,56,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
56,57,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
57,58,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
58,59,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
59,60,530.0,,,,17.0,In silico
60,61,545.0,Benzenoids,0.5555555555555556,superclass,9.0,In silico
61,62,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
62,63,566.0,,,,,
63,64,1072.0,Lipids and lipid-like molecules,0.6153846153846154,superclass,13.0,In silico
64,65,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
65,66,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
66,67,458.0,,,,,
67,68,1528.0,Lipids and lipid-like molecules,0.75,superclass,4.0,In silico
68,69,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
69,70,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
70,71,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
71,72,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
