,scan,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
72,73,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
73,74,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
74,75,1855.0,Benzenoids,1.0,superclass,1.0,In silico
75,76,997.0,,,,,
76,77,3456.0,,,,,
77,78,458.0,,,,,
78,79,89.0,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
79,80,440.0,Lipids and lipid-like molecules,0.8021276595744681,superclass,47.0,In silico
80,81,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
81,82,567.0,Lipids and lipid-like molecules;Glycerolipids,1.0047619047619047,class,21.0,In silico
82,83,319.0,,,,,
83,84,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
84,85,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
85,86,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
86,87,32.0,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
87,88,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
88,89,405.0,Organoheterocyclic compounds;Azoles;Thiadiazoles,1.0534883720930233,subclass,43.0,In silico
89,90,907.0,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,1.0,subclass,12.0,In silico
90,91,408.0,Organoheterocyclic compounds,0.7666666666666666,superclass,12.0,In silico
91,92,880.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,2.0,In silico
92,93,100.0,Lipids and lipid-like molecules,0.6,superclass,86.0,In silico
93,93,100.0,Organic acids and derivatives,0.5302325581395348,superclass,86.0,In silico
94,94,1129.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,9.0,In silico
95,95,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
96,96,484.0,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
97,97,1438.0,,,,,
98,98,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
99,99,1392.0,Lipids and lipid-like molecules,1.0,superclass,2.0,In silico
100,100,321.0,Lipids and lipid-like molecules,0.9333333333333333,superclass,12.0,In silico
101,101,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
102,102,878.0,Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,1.0,subclass,2.0,In silico
103,103,861.0,,,,,
104,104,567.0,Lipids and lipid-like molecules;Glycerolipids,1.0047619047619047,class,21.0,In silico
105,105,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
106,106,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
107,107,747.0,,,,,
108,108,1825.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,4.0,In silico
109,109,484.0,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
110,110,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
111,111,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
112,112,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
113,113,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
114,114,311.0,Lipids and lipid-like molecules;Prenol lipids,0.975,class,8.0,In silico
115,115,1063.0,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,0.8,subclass,5.0,In silico
116,116,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
117,117,2789.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.0,subclass,1.0,In silico
118,118,260.0,,,,,
119,119,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
120,120,314.0,Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,1.1,subclass,4.0,In silico
121,121,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
122,122,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
123,123,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
124,124,163.0,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
125,125,526.0,,,,,
126,126,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
127,127,530.0,,,,17.0,In silico
128,128,186.0,,,,,
129,129,260.0,,,,,
130,130,2289.0,Lipids and lipid-like molecules,0.8,superclass,5.0,In silico
131,131,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
132,132,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
133,133,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
134,134,318.0,Lipids and lipid-like molecules;Sphingolipids,0.9,class,25.0,In silico
135,135,174.0,Lipids and lipid-like molecules,0.9125,superclass,48.0,In silico
136,136,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
137,137,3546.0,Lipids and lipid-like molecules;Glycerolipids;Diradylglycerols,1.0,subclass,3.0,In silico
138,138,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
139,139,1553.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,4.0,In silico
140,140,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
141,141,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
142,142,1046.0,Organic acids and derivatives,0.6666666666666666,superclass,3.0,In silico
143,143,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
144,144,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
145,145,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
146,146,484.0,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
147,147,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
148,148,32.0,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
149,149,332.0,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",0.8384615384615385,subclass,65.0,In silico
150,150,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
151,151,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
152,152,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
153,153,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
154,154,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
155,155,2077.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,5.0,In silico
156,157,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
157,158,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
158,159,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
159,160,382.0,,,,,
160,161,658.0,Benzenoids;Benzene and substituted derivatives;Benzoic acids and derivatives,0.8777777777777778,subclass,9.0,In silico
161,162,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
162,163,89.0,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
163,165,32.0,Lipids and lipid-like molecules;Sphingolipids,0.9888888888888888,class,63.0,In silico
164,166,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
165,167,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
166,169,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
167,171,1129.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,9.0,In silico
168,172,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
169,173,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
170,174,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
171,175,523.0,,,,,
172,176,831.0,Lipids and lipid-like molecules,0.7666666666666666,superclass,6.0,In silico
173,177,3009.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.8333333333333334,subclass,6.0,In silico
174,178,318.0,Lipids and lipid-like molecules;Sphingolipids,0.9,class,25.0,In silico
175,179,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
176,180,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
177,182,458.0,,,,,
178,183,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
179,184,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
180,185,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
181,186,290.0,,,,15.0,In silico
182,187,2981.0,,,,,
183,188,208.0,,,,,
184,189,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
185,191,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
186,192,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
187,193,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
188,194,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
189,195,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
190,196,174.0,Lipids and lipid-like molecules,0.9125,superclass,48.0,In silico
191,197,249.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,2.0,In silico
192,198,1059.0,Organic acids and derivatives;Carboxylic acids and derivatives,0.85,class,4.0,In silico
193,200,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
194,201,835.0,,,,2.0,In silico
195,202,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
196,203,161.0,Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,1.1,subclass,3.0,In silico
197,204,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
198,205,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
199,206,208.0,,,,,
200,207,610.0,,,,,
201,208,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
202,209,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
203,210,596.0,Organoheterocyclic compounds;Heteroaromatic compounds,0.8777777777777778,class,9.0,In silico
204,211,9.0,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
205,212,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
206,213,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
207,214,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
208,215,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
209,216,112.0,Lipids and lipid-like molecules;Sphingolipids,1.0230769230769232,class,13.0,In silico
210,217,206.0,,,,,
211,218,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
212,220,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
213,221,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
214,222,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
215,224,650.0,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5.0,In silico
216,225,208.0,,,,,
217,226,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
218,227,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
219,228,4358.0,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1.1,subclass,2.0,In silico
220,229,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
221,230,945.0,,,,,
222,231,113.0,Lipids and lipid-like molecules,0.7818181818181817,superclass,22.0,In silico
223,232,186.0,,,,,
224,233,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
225,235,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
226,236,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
227,237,530.0,,,,17.0,In silico
228,238,1356.0,,,,,
229,239,2289.0,Lipids and lipid-like molecules,0.8,superclass,5.0,In silico
230,240,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
231,241,458.0,,,,,
232,242,733.0,Lipids and lipid-like molecules;Prenol lipids,1.0,class,3.0,In silico
233,244,1528.0,Lipids and lipid-like molecules,0.75,superclass,4.0,In silico
234,245,661.0,Organic acids and derivatives,0.6538461538461539,superclass,26.0,In silico
235,246,89.0,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
236,247,40.0,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95.0,In silico
237,248,2734.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.0,subclass,3.0,In silico
238,249,3158.0,Lipids and lipid-like molecules;Sphingolipids,1.0,class,2.0,In silico
239,250,163.0,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
240,251,1257.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18.0,In silico
241,252,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
242,253,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
243,254,378.0,Lipids and lipid-like molecules,0.5090909090909091,superclass,22.0,In silico
244,255,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
245,256,1522.0,,,,,
246,257,458.0,,,,,
247,258,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
248,259,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
249,260,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
250,261,408.0,Organoheterocyclic compounds,0.7666666666666666,superclass,12.0,In silico
251,262,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
252,263,7.0,Lipids and lipid-like molecules,0.9936170212765957,superclass,94.0,In silico
253,264,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
254,265,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
255,266,1015.0,Organic acids and derivatives,0.6666666666666666,superclass,6.0,In silico
256,267,1703.0,Lipids and lipid-like molecules;Prenol lipids;Quinone and hydroquinone lipids,1.1,subclass,2.0,In silico
257,268,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
258,269,639.0,,,,,
259,270,382.0,,,,,
260,271,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
261,272,222.0,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
262,273,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
263,274,1592.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,6.0,In silico
264,275,46.0,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89.0,In silico
265,276,89.0,Lipids and lipid-like molecules,0.7999999999999999,superclass,60.0,In silico
266,277,2052.0,,,,,
267,278,163.0,Lipids and lipid-like molecules,0.7588235294117647,superclass,85.0,In silico
268,279,38.0,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,29.0,In silico
269,280,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
270,281,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
271,282,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
272,283,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
273,284,1653.0,,,,,
274,285,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
275,286,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
276,287,484.0,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
277,288,283.0,,,,,
278,290,222.0,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
279,291,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
280,292,530.0,,,,17.0,In silico
281,293,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
282,294,1109.0,,,,,
283,295,382.0,,,,,
284,297,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
285,298,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
286,299,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
287,300,530.0,,,,17.0,In silico
288,301,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
289,302,222.0,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
290,303,458.0,,,,,
291,304,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
292,306,31.0,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,0.7966292134831461,subclass,89.0,In silico
293,307,3213.0,,,,,
294,311,2836.0,"Lipids and lipid-like molecules;Steroids and steroid derivatives;Bile acids, alcohols and derivatives",1.1,subclass,3.0,In silico
295,312,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
296,313,661.0,Organic acids and derivatives,0.6538461538461539,superclass,26.0,In silico
297,314,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
298,315,181.0,Lipids and lipid-like molecules;Sphingolipids,1.0305555555555557,class,72.0,In silico
299,316,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
300,317,77.0,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",1.0,subclass,1.0,In silico
301,318,222.0,Lipids and lipid-like molecules;Sphingolipids,0.8297297297297297,class,74.0,In silico
302,319,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
303,320,484.0,Organic acids and derivatives,0.6785714285714286,superclass,28.0,In silico
304,321,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
305,322,99.0,Lipids and lipid-like molecules,0.7867469879518072,superclass,83.0,In silico
306,323,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
307,324,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
308,325,100.0,Lipids and lipid-like molecules,0.6,superclass,86.0,In silico
309,325,100.0,Organic acids and derivatives,0.5302325581395348,superclass,86.0,In silico
310,326,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
311,328,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
312,329,458.0,,,,,
313,330,9.0,Organic nitrogen compounds;Organonitrogen compounds;Amines,0.8235294117647058,subclass,34.0,In silico
314,331,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
315,332,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
316,333,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
317,334,1087.0,Organoheterocyclic compounds;Heteroaromatic compounds,1.1,class,6.0,In silico
318,335,260.0,,,,,
319,336,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
320,337,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
321,338,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
322,339,136.0,,,,,
323,340,-1.0,Lipids and lipid-like molecules,0.6736894164193867,superclass,5055.0,In silico
