experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_FalsePositives,32,358,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Ethers,0.75,subclass,4,Insilico
dataset1_FalsePositives,33,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_FalsePositives,34,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,35,245,Pentaethylene glycol,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,36,74,"10E,12Z-octadecadienoic acid",Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,37,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_FalsePositives,38,1770,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.7272727272727273,superclass,11,Insilico
dataset1_FalsePositives,39,358,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Ethers,0.75,subclass,4,Insilico
dataset1_FalsePositives,40,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,41,74,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,42,-1,Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_FalsePositives,43,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,44,-1,Val-Gly-Arg,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_FalsePositives,45,245,NA,NA,NA,NA,NA,NA,NA,Organooxygen compounds,0.7058823529411765,class,68,Insilico
dataset1_FalsePositives,46,2256,Thromboxane B3,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,NA,NA,NA,NA
dataset1_FalsePositives,47,74,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Fatty Acyls,0.7183098591549296,class,142,Insilico
dataset1_FalsePositives,48,640,NA,NA,NA,NA,Benzenoids,Phenol ethers,NA,Benzenoids,0.6666666666666666,superclass,3,Insilico
dataset1_FalsePositives,49,1473,NA,NA,NA,NA,Benzenoids,NA,NA,Benzenoids,0.625,superclass,24,Insilico
dataset1_FalsePositives,50,1539,NA,NA,NA,NA,Benzenoids,NA,NA,Organic acids and derivatives,0.7,superclass,10,Insilico
dataset1_FalsePositives,51,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,52,97,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA
dataset1_FalsePositives,53,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,54,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,55,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,56,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_FalsePositives,57,2138,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_FalsePositives,58,97,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_FalsePositives,59,2256,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_FalsePositives,60,-1,Harmaline,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_FalsePositives,61,5110,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organooxygen compounds,1,class,2,Insilico
dataset1_FalsePositives,62,2073,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,Organoheterocyclic compounds,0.5555555555555556,superclass,9,Insilico
dataset1_FalsePositives,63,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_FalsePositives,64,-1,NA,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,NA,NA,NA,NA,NA
dataset1_FalsePositives,65,37,Contaminant vial septum ThermoFisher C5000-44B,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,NA,NA,NA,NA,NA
dataset1_FalsePositives,66,1473,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Benzenoids,0.625,superclass,24,Insilico
dataset1_FalsePositives,67,245,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organooxygen compounds,0.7058823529411765,class,68,Insilico
