experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,8763,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8764,41,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,0.7,superclass,30,In silico
dataset1_smallNetsFP,8765,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8766,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Oxepanes,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8767,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8768,6551,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,1.1,class,2,In silico
dataset1_smallNetsFP,8769,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8770,91,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Lipids and lipid-like molecules,0.9421052631578947,superclass,19,In silico
dataset1_smallNetsFP,8771,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8772,91,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,Lipids and lipid-like molecules,0.9421052631578947,superclass,19,In silico
dataset1_smallNetsFP,8773,896,NA,NA,NA,NA,Benzenoids,Phenol ethers,Anisoles,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8774,541,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,Carboxylic acids and derivatives,0.725,class,16,In silico
dataset1_smallNetsFP,8775,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,8776,376,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,0.625,superclass,32,In silico
dataset1_smallNetsFP,8777,1332,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8778,3660,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8779,1077,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8780,589,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.5333333333333333,superclass,15,In silico
dataset1_smallNetsFP,8781,1035,NA,NA,NA,NA,Organoheterocyclic compounds,Pyrrolidines,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8782,961,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Fatty Acyls,0.85,class,4,In silico
dataset1_smallNetsFP,8783,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8784,-1,NA,NA,NA,NA,Organic acids and derivatives,Vinylogous amides,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8785,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8786,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8787,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8788,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8789,388,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8790,4236,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Imidazoles,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8791,2571,8-Iso-16-cyclohexyltetranorprostaglandin E2,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Lipids and lipid-like molecules,1.1,superclass,2,In silico
dataset1_smallNetsFP,8792,723,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,Carboxylic acids and derivatives,0.85,class,8,In silico
dataset1_smallNetsFP,8793,504,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Lipids and lipid-like molecules,0.5681818181818182,superclass,44,In silico
dataset1_smallNetsFP,8794,504,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.5681818181818182,superclass,44,In silico
dataset1_smallNetsFP,8795,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8796,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8797,419,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.9387096774193548,class,31,In silico
dataset1_smallNetsFP,8798,376,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Lipids and lipid-like molecules,0.625,superclass,32,In silico
dataset1_smallNetsFP,8799,419,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.9387096774193548,class,31,In silico
dataset1_smallNetsFP,8800,528,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8801,376,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,Lipids and lipid-like molecules,0.625,superclass,32,In silico
dataset1_smallNetsFP,8802,2613,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,Benzene and substituted derivatives,0.7666666666666666,class,3,In silico
dataset1_smallNetsFP,8803,419,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.9387096774193548,class,31,In silico
dataset1_smallNetsFP,8804,1000,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls,0.7058823529411765,class,17,In silico
dataset1_smallNetsFP,8805,419,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.9387096774193548,class,31,In silico
dataset1_smallNetsFP,8806,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8807,761,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acids and derivatives,0.9,class,5,In silico
dataset1_smallNetsFP,8808,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8809,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8810,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8811,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8812,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
