experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_NAP,10788,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_NAP,10789,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,NA,NA,NA,NA,NA
dataset1_NAP,10790,1230,NA,NA,NA,NA,NA,NA,NA,"Amino acids, peptides, and analogues",1,subclass,1,Insilico
dataset1_NAP,10791,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10792,55,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.5342465753424658,superclass,73,Insilico
dataset1_NAP,10793,1914,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.1,subclass,2,Insilico
dataset1_NAP,10794,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10795,1532,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Ethers,1.1,subclass,2,Insilico
dataset1_NAP,10796,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10797,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_NAP,10798,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10799,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10800,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA
dataset1_NAP,10801,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Lactams,NA,NA,NA,NA,NA,NA
dataset1_NAP,10802,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10803,-1,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_NAP,10804,3849,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,NA
dataset1_NAP,10805,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_NAP,10806,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Imidazoles,NA,NA,NA,NA,NA
dataset1_NAP,10807,1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10808,437,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.6388888888888888,superclass,72,Insilico
dataset1_NAP,10809,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10810,35,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,Organic acids and derivatives,0.6806451612903226,superclass,31,Insilico
dataset1_NAP,10811,5876,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,NA,Carboxylic acids and derivatives,1.1,class,2,Insilico
dataset1_NAP,10812,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10813,704,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.1,subclass,2,Insilico
dataset1_NAP,10814,1463,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10815,393,Methyl .alpha.-linolenyl fluorophosphonate,N/A,N/A,N/A,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library
dataset1_NAP,10816,336,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,"Amino acids, peptides, and analogues",1,subclass,1,Library
dataset1_NAP,10817,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10818,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_NAP,10819,4618,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10820,2770,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_NAP,10821,271,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,0.9181818181818182,subclass,11,Insilico
dataset1_NAP,10822,1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10823,681,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_NAP,10824,1174,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,0.7666666666666666,subclass,3,Insilico
dataset1_NAP,10825,393,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Lipids and lipid-like molecules,0.7857142857142857,superclass,56,Library
dataset1_NAP,10826,1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10827,1463,NA,NA,NA,NA,Alkaloids and derivatives,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10828,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10829,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA
dataset1_NAP,10830,6340,NA,NA,NA,NA,NA,NA,NA,Organonitrogen compounds,1,class,1,Insilico
dataset1_NAP,10831,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_NAP,10832,3635,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,NA,Lipids and lipid-like molecules,1.1,superclass,2,Insilico
dataset1_NAP,10833,-1,"4-Pregnen-6.beta.,11.beta.,17,21-tetrol-3,20-dione",Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,Organic acids and derivatives,Carboxylic acids and derivatives,NA,Hydroxysteroids,1,NA,NA,Library
dataset1_NAP,10834,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10835,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_NAP,10836,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_NAP,10837,225,D-erythro-Sphingosine C-15,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Amines,1,subclass,1,Library
dataset1_NAP,10838,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10839,1018,NA,NA,NA,NA,Benzenoids,NA,NA,Benzenesulfonic acids and derivatives,0.7363636363636363,subclass,11,Insilico
dataset1_NAP,10840,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_NAP,10841,493,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Imidazoles,NA,NA,NA,NA,NA
dataset1_NAP,10842,2407,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Fatty Acyls,0.85,class,4,Insilico
dataset1_NAP,10843,99,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Glycerophosphocholines,1,subclass,3,Library
dataset1_NAP,10844,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10845,3907,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_NAP,10846,2369,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,0.75,subclass,4,Insilico
dataset1_NAP,10847,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_NAP,10848,-1,NA,NA,NA,NA,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,NA,NA,NA,NA,NA
dataset1_NAP,10849,1969,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Alcohols and polyols,0.7666666666666666,subclass,3,Insilico
dataset1_NAP,10850,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
