experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset2_FalsePositives,12,1359,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,1359,no matches,no matches,no matches,Pyrimidines and pyrimidine derivatives,1,subclass,3,Insilico
dataset2_FalsePositives,13,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,14,241,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,241,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.7333333333333333,superclass,90,Insilico
dataset2_FalsePositives,15,241,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Anilides,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,241,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.7333333333333333,superclass,90,Insilico
dataset2_FalsePositives,16,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,612,no matches,no matches,no matches,Diazines,0.7142857142857143,class,7,Insilico
dataset2_FalsePositives,17,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,612,no matches,no matches,no matches,Diazines,0.7142857142857143,class,7,Insilico
dataset2_FalsePositives,18,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic oxygen compounds,Organooxygen compounds,Ethers,Benzenoids,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,19,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,20,201,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,21,371,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,371,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,22,201,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,23,201,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,24,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,25,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,26,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,27,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,28,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,29,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,30,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,31,177,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",177,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,32,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,33,250,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,250,Lipids and lipid-like molecules,Fatty Acyls,Carboximidic acids,Fatty Acyls,0.8181818181818182,class,11,Insilico
dataset2_FalsePositives,34,247,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,NA,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,247,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,35,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,36,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,537,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,37,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,38,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,39,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,40,536,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,536,no matches,no matches,no matches,Phosphonic acid diesters,0.9090909090909091,subclass,11,Insilico
dataset2_FalsePositives,41,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,71,no matches,no matches,no matches,Organoheterocyclic compounds,1,superclass,4,Insilico
dataset2_FalsePositives,42,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,NA,NA
dataset2_FalsePositives,43,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,44,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Anilides,372,no matches,no matches,no matches,Benzenoids,0.5714285714285714,superclass,7,Insilico
dataset2_FalsePositives,45,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,372,no matches,no matches,no matches,Benzenoids,0.5714285714285714,superclass,7,Insilico
dataset2_FalsePositives,46,494,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,494,no matches,no matches,no matches,Organoheterocyclic compounds,0.75,superclass,8,Insilico
dataset2_FalsePositives,47,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,48,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,49,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,50,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,51,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,52,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,53,124,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,124,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,NA,NA,NA,NA
dataset2_FalsePositives,54,182,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
