experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset4_unmodified,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset4_unmodified,2,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
dataset4_unmodified,3,1015,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives;Carboxylic acids and derivatives;Dicarboxylic acids and derivatives,1,subclass,1,Library
dataset4_unmodified,4,31,Canthaxanthin (Euglenanone),Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7,Library
dataset4_unmodified,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset4_unmodified,6,1257,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,Lipids and lipid-like molecules;Sphingolipids;Glycosphingolipids,1.1,subclass,18,In silico
dataset4_unmodified,7,2409,NA,NA,NA,NA,Benzenoids,NA,NA,Organic oxygen compounds,0.6666666666666666,superclass,3,In silico
dataset4_unmodified,8,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset4_unmodified,9,31,Massbank:MSJ00126 Echinenone,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Lipids and lipid-like molecules;Prenol lipids;Tetraterpenoids,1.1,subclass,7,Library
dataset4_unmodified,10,650,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14",N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives;Carboxylic acids and derivatives,0.8,class,5,In silico
dataset4_unmodified,11,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset4_unmodified,12,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
dataset4_unmodified,13,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset4_unmodified,14,40,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,NA,Lipids and lipid-like molecules;Sphingolipids,0.7736842105263158,class,95,In silico
dataset4_unmodified,15,319,"NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate",Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Lipids and lipid-like molecules;Prenol lipids,1.1,class,3,Library
dataset4_unmodified,16,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset4_unmodified,17,46,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,Lipids and lipid-like molecules;Glycerolipids;Glycosylglycerols,0.7853932584269663,subclass,89,In silico
