experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmallNets,17578,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17579,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17580,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",20,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.9534883720930233,subclass,43,Insilico
dorcierrSmallNets,17581,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17582,3462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3462,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17583,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17584,5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,5401,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17585,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17586,-1,NA,NA,NA,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17587,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17588,-1,NA,NA,NA,Organoheterocyclic compounds,Isoquinolines and derivatives,Isoquinolones and derivatives,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17589,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,649,no matches,no matches,no matches,N/A,1,subclass,2,Library
dorcierrSmallNets,17590,2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662,no matches,no matches,no matches,Terpene glycosides,0.75,subclass,4,Insilico
dorcierrSmallNets,17591,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17592,1201,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",1201,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,1,superclass,3,Library
dorcierrSmallNets,17593,-1,NA,NA,NA,Benzenoids,Phenols,Nitrophenols,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Organic isocyanides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17594,-1,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17595,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17596,1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,1643,no matches,no matches,no matches,Organic nitrogen compounds,0.6666666666666666,superclass,3,Insilico
dorcierrSmallNets,17597,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17598,4399,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,4399,no matches,no matches,no matches,Organooxygen compounds,1,class,2,Insilico
dorcierrSmallNets,17599,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,91,no matches,no matches,no matches,Lipids and lipid-like molecules,0.7894736842105263,superclass,19,Insilico
dorcierrSmallNets,17600,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1929,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Carbonyl compounds,1,subclass,1,Library
dorcierrSmallNets,17601,1230,N/A,N/A,N/A,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Phenylphosphines and derivatives,Benzenoids,Benzene and substituted derivatives,Halobenzenes,1230,no matches,no matches,no matches,N/A,1,subclass,2,Library
dorcierrSmallNets,17602,528,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenethylamines,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",528,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17603,2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,2163,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17604,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Benzenoids,Benzene and substituted derivatives,Phenylpropanes,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,NA,NA,Library
dorcierrSmallNets,17605,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,264,no matches,no matches,no matches,Organic acids and derivatives,0.75,superclass,16,Insilico
dorcierrSmallNets,17606,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",613,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.7142857142857143,subclass,7,Insilico
dorcierrSmallNets,17607,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17608,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,no matches,no matches,no matches,Carboxylic acids and derivatives,0.75,class,4,Insilico
dorcierrSmallNets,17609,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17610,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17611,1275,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organoheterocyclic compounds,Azoles,Tetrazoles,1275,no matches,no matches,no matches,N/A,1,subclass,10,Library
dorcierrSmallNets,17612,2657,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,2657,no matches,no matches,no matches,Lipids and lipid-like molecules,0.8571428571428571,superclass,7,Insilico
dorcierrSmallNets,17613,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17614,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17615,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17616,-1,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Benzenoids,NA,NA,-1,no matches,no matches,no matches,N/A,1,NA,NA,Library
dorcierrSmallNets,17617,5423,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,5423,no matches,no matches,no matches,Diterpenoids,1,subclass,3,Insilico
dorcierrSmallNets,17618,208,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,208,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,0.9090909090909091,subclass,11,Library
dorcierrSmallNets,17619,1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1323,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17620,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organosulfur compounds,Thioethers,Dialkylthioethers,423,no matches,no matches,no matches,N/A,0.6,superclass,10,Insilico
dorcierrSmallNets,17621,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",214,Phenylpropanoids and polyketides,Stilbenes,nan,N/A,1,subclass,2,Library
dorcierrSmallNets,17622,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17623,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17624,674,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzylamines,674,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Benzenoids,0.5555555555555556,superclass,9,Library
dorcierrSmallNets,17625,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17626,-1,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Delta-5-steroids,-1,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1,NA,NA,Library
dorcierrSmallNets,17627,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17628,4289,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,4289,no matches,no matches,no matches,Glycosphingolipids,1,subclass,1,Insilico
dorcierrSmallNets,17629,-1,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17630,-1,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoradylglycerols,1,NA,NA,Library
dorcierrSmallNets,17631,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17632,691,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,691,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides,Aminoxides,1,subclass,2,Library
dorcierrSmallNets,17633,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17634,2096,NA,NA,NA,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,NA,NA,NA,NA,NA,NA,2096,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17635,581,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,581,no matches,no matches,no matches,Benzenoids,0.6666666666666666,superclass,3,Insilico
dorcierrSmallNets,17636,910,NA,NA,NA,"Lignans, neolignans and related compounds",Dibenzylbutane lignans,Dibenzylbutanediol lignans,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,910,no matches,no matches,no matches,Chalcones and dihydrochalcones,0.9090909090909091,subclass,11,Insilico
dorcierrSmallNets,17637,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17638,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17639,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17640,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phenylpropanoids and polyketides,Tannins,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17641,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Phenol ethers,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17642,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,351,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17643,5032,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,NA,NA,NA,NA,NA,NA,5032,no matches,no matches,no matches,Eicosanoids,1,subclass,2,Insilico
