experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_SmallNets,2785,2548,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,1.1,subclass,8,Insilico
dataset1_SmallNets,2786,1002,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,0.9181818181818182,subclass,11,Insilico
dataset1_SmallNets,2787,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2788,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_SmallNets,2789,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_SmallNets,2790,851,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2791,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2792,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,NA,NA,NA,NA,NA
dataset1_SmallNets,2793,9,NA,NA,NA,NA,Hydrocarbon derivatives,NA,NA,Ureas,0.75,subclass,4,Library
dataset1_SmallNets,2794,673,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glycerophosphoethanolamines,1,subclass,3,Library
dataset1_SmallNets,2795,2548,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,1.1,subclass,8,Insilico
dataset1_SmallNets,2796,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2797,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2798,4722,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Carbonyl compounds,1.1,subclass,2,Insilico
dataset1_SmallNets,2799,986,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Organic acids and derivatives,0.5555555555555556,superclass,9,Insilico
dataset1_SmallNets,2800,-1,NA,NA,NA,NA,Phenylpropanoids and polyketides,Macrolides and analogues,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2801,451,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,2802,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2803,120,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives,0.6470588235294118,superclass,17,Insilico
dataset1_SmallNets,2804,5121,Palmitoyl-L-carnitine,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty Acyls,1.1,class,2,Library
dataset1_SmallNets,2805,2464,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,Insilico
dataset1_SmallNets,2806,478,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2807,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2808,3554,"Benzamide, N-(5Z,8Z,11Z,14Z)-5,8,11,14-eicosatetraen-1-yl-4-hydroxy-",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Organic nitrogen compounds,Organonitrogen compounds,Amines,Benzoic acids and derivatives,1.1,subclass,4,Library
dataset1_SmallNets,2809,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,2810,-1,PERHEXILINE,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic nitrogen compounds,Organonitrogen compounds,Amines,Dicarboxylic acids and derivatives,1,NA,NA,Library
dataset1_SmallNets,2811,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2812,164,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,Benzene and substituted derivatives,1.1,class,2,Insilico
dataset1_SmallNets,2813,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_SmallNets,2814,594,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Prenol lipids,0.7666666666666666,class,6,Insilico
dataset1_SmallNets,2815,485,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,2816,1691,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Delta valerolactones,1.1,subclass,2,Insilico
dataset1_SmallNets,2817,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2818,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,NA,NA,NA,NA,NA
dataset1_SmallNets,2819,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,NA,NA,NA,NA,NA,NA
