experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
psuedonitzchia_unmodified,1,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Triazines,"1,2,4-triazines",242,no matches,no matches,no matches,Organoheterocyclic compounds,1.1,superclass,4,Insilico
psuedonitzchia_unmodified,2,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,242,no matches,no matches,no matches,Organoheterocyclic compounds,1.1,superclass,4,Insilico
psuedonitzchia_unmodified,3,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",695,no matches,no matches,no matches,Pyrimidines and pyrimidine derivatives,0.7666666666666666,subclass,3,Insilico
psuedonitzchia_unmodified,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids and derivatives,0.8,subclass,5,Library
psuedonitzchia_unmodified,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia_unmodified,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Imidolactams,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia_unmodified,7,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia_unmodified,8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
psuedonitzchia_unmodified,9,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,1030,no matches,no matches,no matches,null,1.1,subclass,2,Insilico
psuedonitzchia_unmodified,10,536,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,NA,NA,NA,NA,NA,NA,536,no matches,no matches,no matches,Phosphonic acid diesters,1.009090909090909,subclass,11,Insilico
