experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierr,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,2,74,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,3,112,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1226,Lipids and lipid-like molecules,Imidazopyrimidines,Purines and purine derivatives,Fatty amides,1,subclass,1,Library
dorcierr,4,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,5,74,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,7,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",941,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,8,74,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,9,74,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,10,1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,838,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,11,4183,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,6561,no matches,no matches,no matches,Ethers,1,subclass,2,Insilico
dorcierr,12,4693,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,2589,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,13,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,14,300,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,295,no matches,no matches,no matches,N/A,1,subclass,13,Library
dorcierr,15,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,16,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",941,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,17,1280,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,511,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,NA,NA,NA,NA,NA
dorcierr,18,1956,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,1380,no matches,no matches,no matches,Benzenoids,0.6666666666666666,superclass,3,Insilico
dorcierr,19,-1,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,20,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,no matches,no matches,no matches,Organic acids and derivatives,0.6197183098591549,superclass,71,Insilico
dorcierr,21,605,Benzenoids,Benzene and substituted derivatives,Toluenes,N/A,N/A,N/A,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Toluenes,715,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,0.625,superclass,8,Library
dorcierr,22,245,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,148,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,0.631578947368421,superclass,19,Library
dorcierr,23,300,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",295,no matches,no matches,no matches,N/A,1,subclass,13,Library
dorcierr,24,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,25,245,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,148,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,0.631578947368421,superclass,19,Library
dorcierr,26,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,295,no matches,no matches,no matches,N/A,1,subclass,13,Library
dorcierr,27,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1335,no matches,no matches,no matches,Organic acids and derivatives,0.6,superclass,5,Insilico
dorcierr,28,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,29,245,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,148,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,0.631578947368421,superclass,19,Library
dorcierr,30,37,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,18,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,N/A,1,subclass,15,Library
dorcierr,31,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,975,no matches,no matches,no matches,Lipids and lipid-like molecules,1,superclass,6,Insilico
dorcierr,32,358,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,3294,no matches,no matches,no matches,Ethers,0.75,subclass,4,Insilico
dorcierr,33,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,34,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,35,245,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,148,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,0.631578947368421,superclass,19,Library
dorcierr,36,74,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,37,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,38,1770,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,826,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,NA,NA,NA,NA,NA
dorcierr,39,358,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,3294,no matches,no matches,no matches,Ethers,0.75,subclass,4,Insilico
dorcierr,40,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Alcohols and polyols,1,subclass,1,Library
dorcierr,41,74,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,142,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.5428571428571428,superclass,35,Library
dorcierr,42,-1,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,Organic nitrogen compounds,Organonitrogen compounds,Amines,Amines,1,NA,NA,Library
dorcierr,43,529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierr,44,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,Lipids and lipid-like molecules,Prenol lipids,Retinoids,"Amino acids, peptides, and analogues",1,NA,NA,Library
dorcierr,45,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,0.631578947368421,superclass,19,Library
