experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,1,-1,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,2,604,NA,NA,NA,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,604,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,1.018918918918919,class,37,In silico
dataset1_smallNetsFP,3,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,609,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,1.1,subclass,2,In silico
dataset1_smallNetsFP,4,1275,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,5,1275,N/A,N/A,N/A,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,6,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7,2841,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,8,1275,N/A,N/A,N/A,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,9,1275,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1275,no matches,no matches,no matches,Fatty amides,0.7470588235294118,subclass,17,In silico
dataset1_smallNetsFP,10,205,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,205,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,11,810,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,810,no matches,no matches,no matches,Ethers,1.1,subclass,2,In silico
dataset1_smallNetsFP,12,3785,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,3785,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,13,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,14,14,N/A,N/A,N/A,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,15,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,16,2841,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,17,1297,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1297,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,Fatty amides,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,18,2331,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,2331,no matches,no matches,no matches,Benzenoids,0.7666666666666666,superclass,3,In silico
dataset1_smallNetsFP,19,-1,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,20,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,no matches,no matches,no matches,Organic acids and derivatives,0.5476190476190477,superclass,42,In silico
dataset1_smallNetsFP,21,414,Benzenoids,Benzene and substituted derivatives,Toluenes,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Toluenes,414,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,0.7842105263157895,superclass,19,In silico
dataset1_smallNetsFP,22,283,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,283,no matches,no matches,no matches,Organic oxygen compounds,0.5238095238095238,superclass,21,In silico
dataset1_smallNetsFP,23,14,N/A,N/A,N/A,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,24,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,25,121,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,9,In silico
dataset1_smallNetsFP,26,14,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,14,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,27,6348,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,6348,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,5,In silico
dataset1_smallNetsFP,28,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,29,283,NA,NA,NA,N/A,N/A,N/A,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,283,no matches,no matches,no matches,Organic oxygen compounds,0.5238095238095238,superclass,21,In silico
dataset1_smallNetsFP,30,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,31,491,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,491,no matches,no matches,no matches,Fatty amides,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,32,2444,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,2444,no matches,no matches,no matches,Ethers,0.85,subclass,4,In silico
dataset1_smallNetsFP,33,-1,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,34,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,35,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,9,In silico
dataset1_smallNetsFP,36,-1,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,37,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,38,277,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,277,Benzenoids,Benzene and substituted derivatives,Phenylbutylamines,Lipids and lipid-like molecules,0.7,superclass,10,In silico
dataset1_smallNetsFP,39,2444,NA,NA,NA,N/A,N/A,N/A,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,2444,no matches,no matches,no matches,Ethers,0.85,subclass,4,In silico
dataset1_smallNetsFP,40,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,41,3700,NA,NA,NA,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,3700,no matches,no matches,no matches,Fatty amides,0.7666666666666666,subclass,3,In silico
dataset1_smallNetsFP,42,-1,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,43,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,44,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_smallNetsFP,45,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,46,813,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,813,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,47,2081,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2081,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,In silico
dataset1_smallNetsFP,48,803,NA,NA,NA,NA,NA,NA,Benzenoids,Phenol ethers,NA,803,no matches,no matches,no matches,Phenol ethers,0.7666666666666666,class,3,In silico
dataset1_smallNetsFP,49,649,NA,NA,NA,NA,NA,NA,Benzenoids,NA,NA,649,no matches,no matches,no matches,Benzenoids,0.725,superclass,24,In silico
dataset1_smallNetsFP,50,715,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Benzenoids,NA,NA,715,no matches,no matches,no matches,Organic acids and derivatives,0.7999999999999999,superclass,10,In silico
dataset1_smallNetsFP,51,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,52,408,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,53,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,54,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,55,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,56,-1,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,57,1188,NA,NA,NA,N/A,N/A,N/A,Organic nitrogen compounds,Organonitrogen compounds,Amines,1188,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,58,408,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,59,813,NA,NA,NA,N/A,N/A,N/A,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,813,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,60,-1,N/A,N/A,N/A,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,61,2299,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,2299,no matches,no matches,no matches,Organooxygen compounds,1.1,class,2,In silico
dataset1_smallNetsFP,62,976,NA,NA,NA,N/A,N/A,N/A,Organoheterocyclic compounds,Azoles,NA,976,no matches,no matches,no matches,Organoheterocyclic compounds,0.5555555555555556,superclass,9,In silico
dataset1_smallNetsFP,63,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,64,-1,NA,NA,NA,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,65,-1,N/A,N/A,N/A,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,66,649,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,649,no matches,no matches,no matches,Benzenoids,0.725,superclass,24,In silico
dataset1_smallNetsFP,67,121,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,121,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,1.1,subclass,9,In silico
dataset1_smallNetsFP,68,216,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,216,no matches,no matches,no matches,Lipids and lipid-like molecules,0.7,superclass,35,In silico
dataset1_smallNetsFP,69,-1,NA,NA,NA,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,70,1415,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Benzenoids,Benzene and substituted derivatives,NA,1415,no matches,no matches,no matches,Cholestane steroids,1.1,subclass,2,In silico
dataset1_smallNetsFP,71,604,NA,NA,NA,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,604,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,1.018918918918919,class,37,In silico
dataset1_smallNetsFP,72,320,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,320,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,73,2841,NA,NA,NA,NA,NA,NA,Benzenoids,NA,NA,2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,74,491,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,491,no matches,no matches,no matches,Fatty amides,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,75,964,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,964,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,76,649,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,649,no matches,no matches,no matches,Benzenoids,0.725,superclass,24,In silico
dataset1_smallNetsFP,77,7700,NA,NA,NA,NA,NA,NA,NA,NA,NA,7700,no matches,no matches,no matches,Benzene and substituted derivatives,1,class,1,In silico
dataset1_smallNetsFP,78,803,NA,NA,NA,Organoheterocyclic compounds,Piperidines,Benzylpiperidines,NA,NA,NA,803,no matches,no matches,no matches,Phenol ethers,0.7666666666666666,class,3,In silico
dataset1_smallNetsFP,79,-1,N/A,N/A,N/A,N/A,N/A,N/A,Organoheterocyclic compounds,Indoles and derivatives,Indoles,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,80,-1,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,81,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,82,-1,NA,NA,NA,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,83,-1,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,84,3898,NA,NA,NA,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",3898,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.7666666666666666,subclass,3,In silico
dataset1_smallNetsFP,85,3291,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,3291,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,1,In silico
dataset1_smallNetsFP,86,-1,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,87,2444,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,2444,no matches,no matches,no matches,Ethers,0.85,subclass,4,In silico
dataset1_smallNetsFP,88,1647,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,1647,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Phosphate esters,0.7666666666666666,subclass,6,In silico
dataset1_smallNetsFP,89,715,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,715,no matches,no matches,no matches,Organic acids and derivatives,0.7999999999999999,superclass,10,In silico
dataset1_smallNetsFP,90,-1,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,91,3757,NA,NA,NA,N/A,N/A,N/A,Organic nitrogen compounds,Organonitrogen compounds,Amines,3757,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,92,604,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,604,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,1.018918918918919,class,37,In silico
dataset1_smallNetsFP,93,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Ceramides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,95,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,96,408,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,97,283,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,283,no matches,no matches,no matches,Organic oxygen compounds,0.5238095238095238,superclass,21,In silico
dataset1_smallNetsFP,98,715,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,715,no matches,no matches,no matches,Organic acids and derivatives,0.7999999999999999,superclass,10,In silico
dataset1_smallNetsFP,99,424,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Ceramides,424,no matches,no matches,no matches,Ceramides,0.7666666666666666,subclass,3,In silico
dataset1_smallNetsFP,100,1627,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Organic acids and derivatives,Carboxylic acids and derivatives,NA,1627,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,101,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,102,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,no matches,no matches,no matches,Organic oxygen compounds,0.6538461538461539,superclass,26,In silico
dataset1_smallNetsFP,103,336,NA,NA,NA,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",336,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.7470588235294118,class,17,In silico
dataset1_smallNetsFP,104,181,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",181,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_smallNetsFP,105,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,106,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,107,-1,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,108,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,109,-1,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,110,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,111,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,112,245,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,245,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,113,310,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,310,no matches,no matches,no matches,Organic oxygen compounds,0.6538461538461539,superclass,26,In silico
dataset1_smallNetsFP,114,-1,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,115,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,116,715,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organohalogen compounds,Aryl halides,Aryl chlorides,715,no matches,no matches,no matches,Organic acids and derivatives,0.7999999999999999,superclass,10,In silico
dataset1_smallNetsFP,117,1818,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1818,no matches,no matches,no matches,Carbohydrates and carbohydrate conjugates,1,subclass,1,In silico
dataset1_smallNetsFP,118,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,119,118,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,118,no matches,no matches,no matches,Lipids and lipid-like molecules,0.9,superclass,15,In silico
dataset1_smallNetsFP,120,-1,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,121,2841,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,2841,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,122,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,123,1807,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1807,no matches,no matches,no matches,Fatty Acyls,0.9823529411764705,class,17,In silico
dataset1_smallNetsFP,124,-1,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,125,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,126,2536,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,2536,no matches,no matches,no matches,Fatty amides,1.1,subclass,4,In silico
dataset1_smallNetsFP,127,3057,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,3057,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,128,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
