experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,7882,3296,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic nitrogen compounds,Organonitrogen compounds,Amines,3296,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7883,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7884,252,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,252,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7885,327,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Ceramides,327,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6666666666666666,superclass,3,In silico
dataset1_smallNetsFP,7886,4878,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Oxosteroids,4878,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7887,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7888,-1,NA,NA,NA,N/A,N/A,N/A,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7889,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7890,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7891,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7892,657,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,657,no matches,no matches,no matches,Organic acids and derivatives,0.5714285714285714,superclass,7,In silico
dataset1_smallNetsFP,7893,3879,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,3879,no matches,no matches,no matches,Amines,1.1,subclass,2,In silico
dataset1_smallNetsFP,7894,186,NA,NA,NA,Organic acids and derivatives,Organic thiophosphoric acids and derivatives,Thiophosphoric acid esters,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,186,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7895,4747,NA,NA,NA,NA,NA,NA,Benzenoids,NA,NA,4747,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7896,3242,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",3242,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7897,1501,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,1501,no matches,no matches,no matches,Benzenoids,0.5454545454545454,superclass,11,In silico
dataset1_smallNetsFP,7898,-1,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Oxepanes,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7899,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,no matches,no matches,no matches,Organic acids and derivatives,1,superclass,2,In silico
dataset1_smallNetsFP,7900,3426,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,3426,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,5,In silico
dataset1_smallNetsFP,7901,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7902,653,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,653,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7903,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7904,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7905,177,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,177,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7906,41,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",41,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,30,In silico
dataset1_smallNetsFP,7907,2335,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,2335,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7908,1396,NA,NA,NA,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1396,no matches,no matches,no matches,Lipids and lipid-like molecules,0.8555555555555555,superclass,45,In silico
dataset1_smallNetsFP,7909,2851,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2851,no matches,no matches,no matches,Carboxylic acids and derivatives,0.9,class,5,In silico
dataset1_smallNetsFP,7910,3296,NA,NA,NA,N/A,N/A,N/A,Benzenoids,Benzene and substituted derivatives,NA,3296,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7911,1785,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1785,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7912,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Ceramides,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7913,5630,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Vinylogous amides,NA,5630,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7914,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7915,711,NA,NA,NA,NA,NA,NA,NA,NA,NA,711,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7916,510,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Oxanes,NA,510,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7917,344,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,344,no matches,no matches,no matches,Lipids and lipid-like molecules,0.5555555555555556,superclass,18,In silico
dataset1_smallNetsFP,7918,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7919,325,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,325,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7920,504,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,504,no matches,no matches,no matches,Lipids and lipid-like molecules,0.5681818181818182,superclass,44,In silico
dataset1_smallNetsFP,7921,4974,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,4974,no matches,no matches,no matches,Purines and purine derivatives,1.1,subclass,2,In silico
dataset1_smallNetsFP,7922,2356,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,2356,no matches,no matches,no matches,Fatty acids and conjugates,0.85,subclass,4,In silico
dataset1_smallNetsFP,7923,-1,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7924,331,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,331,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.7842105263157895,class,19,In silico
dataset1_smallNetsFP,7925,3774,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,3774,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7926,77,NA,NA,NA,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,77,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7927,7887,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,7887,no matches,no matches,no matches,NA,NA,NA,NA,NA
