experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmalNets,15039,499,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrazines,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,499,no matches,no matches,no matches,Organic nitrogen compounds,0.6,superclass,5,Insilico
dorcierrSmalNets,15040,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1874,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15041,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,499,no matches,no matches,no matches,Organic nitrogen compounds,0.6,superclass,5,Insilico
dorcierrSmalNets,15042,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15043,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,469,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6,superclass,30,Insilico
dorcierrSmalNets,15044,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15045,4574,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,4574,no matches,no matches,no matches,Organic acids and derivatives,0.6666666666666666,superclass,3,Insilico
dorcierrSmalNets,15046,2639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15047,16,"Lignans, neolignans and related compounds",Furanoid lignans,Tetrahydrofuran lignans,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",16,"Lignans, neolignans and related compounds",Furanoid lignans,Tetrahydrofuran lignans,NA,NA,NA,NA,NA
dorcierrSmalNets,15048,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,376,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15049,-1,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,-1,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Eicosanoids,1,NA,NA,Library
dorcierrSmalNets,15050,27,NA,NA,NA,Organic acids and derivatives,Peptidomimetics,Depsipeptides,NA,NA,NA,NA,NA,NA,27,no matches,no matches,no matches,N/A,0.8181818181818182,subclass,22,Insilico
dorcierrSmalNets,15051,1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,1327,no matches,no matches,no matches,N/A,0.6818181818181818,superclass,22,Insilico
dorcierrSmalNets,15052,4124,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4124,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,3,Insilico
dorcierrSmalNets,15053,7209,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",7209,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,3,Insilico
dorcierrSmalNets,15054,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15055,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",537,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.9523809523809523,subclass,21,Insilico
dorcierrSmalNets,15056,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",489,no matches,no matches,no matches,Organic acids and derivatives,0.5625,superclass,16,Insilico
dorcierrSmalNets,15057,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15058,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15059,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15060,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,243,no matches,no matches,no matches,Organic acids and derivatives,0.6086956521739131,superclass,23,Insilico
dorcierrSmalNets,15061,-1,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,15062,1716,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1716,no matches,no matches,no matches,Fatty Acyls,1,class,2,Insilico
dorcierrSmalNets,15063,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
