experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_unmodified,11816,1824,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,1.1,class,2,Insilico
dataset1_unmodified,11817,1085,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Organic acids and derivatives,0.6153846153846154,superclass,13,Insilico
dataset1_unmodified,11818,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Biotin and derivatives,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11819,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11820,374,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Imidazolidines,1,subclass,1,Library
dataset1_unmodified,11821,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11822,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_unmodified,11823,727,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Benzenoids,0.7666666666666666,superclass,3,Insilico
dataset1_unmodified,11824,786,NA,NA,NA,NA,Organoheterocyclic compounds,Oxanes,NA,Organic oxygen compounds,0.7,superclass,5,Insilico
dataset1_unmodified,11825,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11826,505,Adenosine 2'-monophosphate,N/A,N/A,N/A,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,NA,NA,NA,NA,NA
dataset1_unmodified,11827,249,.alpha.-Ionone,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Lipids and lipid-like molecules,0.5384615384615384,superclass,13,Library
dataset1_unmodified,11828,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11829,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11830,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11831,3805,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Tetrazoles,NA,NA,NA,NA,NA
dataset1_unmodified,11832,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11833,1629,NA,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,Purine nucleosides,1.1,class,2,Insilico
dataset1_unmodified,11834,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_unmodified,11835,21,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acid esters,1,subclass,21,Library
dataset1_unmodified,11836,2736,NA,NA,NA,NA,Benzenoids,Phenol ethers,NA,Phenylpiperidines,1,subclass,1,Library
dataset1_unmodified,11837,1626,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,0.75,class,4,Insilico
dataset1_unmodified,11838,1277,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Organic acids and derivatives,0.6666666666666666,superclass,3,Insilico
dataset1_unmodified,11839,466,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,NA,NA,NA,NA,NA
dataset1_unmodified,11840,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11841,2068,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls,1.1,class,3,Insilico
dataset1_unmodified,11842,1075,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,"Amino acids, peptides, and analogues",1.0444444444444445,subclass,18,Insilico
dataset1_unmodified,11843,427,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Lipids and lipid-like molecules,1,superclass,3,Library
dataset1_unmodified,11844,377,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,Lipids and lipid-like molecules,0.7666666666666666,superclass,6,Insilico
dataset1_unmodified,11845,2598,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Steroids and steroid derivatives,0.9571428571428571,class,7,Insilico
dataset1_unmodified,11846,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",NA,NA,NA,NA,NA
dataset1_unmodified,11847,1514,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,0.9695652173913043,superclass,23,Insilico
dataset1_unmodified,11848,1840,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.1,subclass,2,Insilico
dataset1_unmodified,11849,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11850,172,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11851,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11852,2225,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Lipids and lipid-like molecules,0.6,superclass,6,Insilico
dataset1_unmodified,11853,21,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Fatty acid esters,1,subclass,21,Library
dataset1_unmodified,11854,2742,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11855,5645,NA,NA,NA,NA,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11856,346,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_unmodified,11857,1630,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,0.6,superclass,5,Insilico
dataset1_unmodified,11858,541,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,NA
dataset1_unmodified,11859,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11860,74,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Lipids and lipid-like molecules,0.8260869565217391,superclass,23,Library
dataset1_unmodified,11861,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,NA,NA
dataset1_unmodified,11862,1871,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Fatty acids and conjugates,1,subclass,1,Library
dataset1_unmodified,11863,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11864,3888,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11865,457,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Methoxyphenols,1,subclass,1,Library
dataset1_unmodified,11866,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11867,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,NA,NA,NA,NA,NA
dataset1_unmodified,11868,13,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11869,1231,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11870,256,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_unmodified,11871,-1,NA,NA,NA,NA,Benzenoids,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11872,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,NA,NA,NA,NA,NA
dataset1_unmodified,11873,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11874,21,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,1,subclass,21,Library
dataset1_unmodified,11875,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,NA,NA,NA,NA,NA
dataset1_unmodified,11876,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11877,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11878,-1,Steviol,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Diterpenoids,1,NA,NA,Library
dataset1_unmodified,11879,1466,"Octanoic acid, 4-[(1-oxo-7-phenylheptyl)amino]-, (4R)-",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,"Amino acids, peptides, and analogues",1,subclass,1,Library
dataset1_unmodified,11880,-1,Methyl jasmonate,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11881,1704,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,0.5714285714285714,superclass,14,Insilico
dataset1_unmodified,11882,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_unmodified,11883,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11884,2881,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,1.1,subclass,2,Insilico
dataset1_unmodified,11885,569,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Lipids and lipid-like molecules,1,superclass,2,Library
dataset1_unmodified,11886,1004,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.1,subclass,3,Insilico
dataset1_unmodified,11887,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,NA,NA
dataset1_unmodified,11888,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
